from,to,model,paper_model
E,E,0.9719816435486432,0.972
E,U,0.014191917667832135,0.014
E,N,0.013826438783524098,0.014
U,E,0.21871391920963207,0.219
U,U,0.6517309874444249,0.652
U,N,0.12955509334594278,0.13
N,E,0.022096898019186805,0.022
N,U,0.020318636829628898,0.02
N,N,0.9575844651511842,0.958
