series,std,std_paper,corrY,corrY_paper,ar1,ar1_paper
urate,0.12794570551343146,0.1207,-0.993533871829469,-0.99,0.8774971316566677,0.87
lfpr,0.0015848917082892937,0.0015,0.39329076160118265,0.37,0.7355212229347369,0.71
E,0.010220052622876058,0.0096,0.996030000626058,0.995,0.8889246460065167,0.89
