series,std,std_paper,corrY,corrY_paper,ar1,ar1_paper
feu,0.0935271851382891,0.089,-0.7937723429564357,-0.79,0.7804783781773699,0.76
fen,0.05734535194917397,0.057,0.23587961556063777,0.21,0.25245605294903384,0.21
fue,0.09225250941245577,0.088,0.7029120634974677,0.69,0.7267077423808703,0.7
fun,0.029068047567650777,0.029,0.47803269508886514,0.47,0.38781609021160385,0.34
fne,0.05282692424233207,0.051,0.5801111770557036,0.57,0.6819778954988653,0.66
fnu,0.08098937659651358,0.076,-0.9620459863339161,-0.96,0.87698923409435,0.87
fjj,0.10274633337359755,0.098,0.553775455711555,0.54,0.7393823129611798,0.72
